Date,Open,High,Low,Close,Adj Close,Volume
12/8/2014,7.4,7.4,7.22,7.39,7.16,4440
12/9/2014,7.25,7.38,7.1,7.1,6.87,4770
12/10/2014,7.3,7.3,7.25,7.25,7.02,1650
12/11/2014,7.31,7.31,7.25,7.3,7.07,1480
12/12/2014,7.26,7.38,7.25,7.38,7.15,8120
12/15/2014,7.39,7.49,7.39,7.4,7.17,7340
12/16/2014,7.4,7.4,7.26,7.26,7.03,5100
12/17/2014,7.26,7.39,7.2,7.26,7.03,8050
12/18/2014,7.38,7.38,7.05,7.37,7.14,26710
12/19/2014,7.36,7.37,7.29,7.29,7.06,4920
12/22/2014,7.4,7.4,7.29,7.29,7.06,2300
12/23/2014,7.3,7.3,7.28,7.28,7.05,2090
12/24/2014,7.35,7.35,7.3,7.3,7.07,270
12/25/2014,7.3,7.35,7.2,7.3,7.07,3320
12/26/2014,7.3,7.35,7.2,7.25,7.02,1360
12/29/2014,7.3,7.3,7.2,7.3,7.07,8820
12/30/2014,7.25,7.3,7.25,7.3,7.07,730
1/2/2015,7.25,7.5,7.25,7.5,7.27,630
1/5/2015,7.5,7.5,7.28,7.28,7.05,1020
1/6/2015,7.39,7.39,7.2,7.35,7.12,3670
1/7/2015,7.3,7.3,7.15,7.15,6.92,650
1/8/2015,7.3,7.3,7.15,7.27,7.04,2350
1/9/2015,7.28,7.28,7.1,7.27,7.04,1020
1/12/2015,7.2,7.2,7.06,7.06,6.83,1000
1/13/2015,7.27,7.27,7.08,7.08,6.85,1220
1/15/2015,7.24,7.24,7.1,7.24,7.01,150
1/16/2015,7.05,7.44,7.05,7.43,7.2,11660
1/19/2015,7.25,7.4,7.25,7.3,7.07,5570
1/20/2015,7.3,7.3,7.3,7.3,7.07,200
1/21/2015,7.3,7.5,7.3,7.5,7.27,20210
1/22/2015,7.5,7.5,7.3,7.3,7.07,1840
1/23/2015,7.11,7.32,7.11,7.3,7.07,820
1/26/2015,7.4,7.4,7.21,7.21,6.98,530
1/27/2015,7.38,7.5,7.37,7.5,7.27,12820
1/28/2015,7.5,7.5,7.5,7.5,7.27,300
1/29/2015,7.51,7.51,7.28,7.3,7.07,4110
1/30/2015,7.3,7.31,7.3,7.31,7.08,840
2/2/2015,7.28,7.45,7.24,7.24,7.01,1780
2/3/2015,7.45,7.54,7.45,7.46,7.23,9900
2/4/2015,7.45,7.49,7.4,7.48,7.25,5320
2/5/2015,7.49,7.54,7.49,7.49,7.26,2400
2/6/2015,7.54,7.55,7.4,7.4,7.17,3220
2/9/2015,7.55,7.55,7.2,7.2,6.97,570
2/10/2015,7.21,7.4,7.2,7.4,7.17,2600
2/11/2015,7.39,7.4,7.25,7.39,7.16,1130
2/12/2015,7.37,7.39,7.37,7.39,7.16,1830
2/13/2015,7.39,7.39,7.25,7.39,7.16,630
2/16/2015,7.35,7.35,7.35,7.35,7.12,9070
2/17/2015,7.25,7.4,7.25,7.4,7.17,7280
2/19/2015,7.4,7.4,7.27,7.27,7.04,2960
2/20/2015,7.28,7.35,7.28,7.34,7.11,1180
2/23/2015,7.34,7.34,7.3,7.3,7.07,1160
2/24/2015,7.35,7.35,7.28,7.28,7.05,5720
2/25/2015,7.28,7.28,7.2,7.2,6.97,1100
2/26/2015,7.2,7.2,7.12,7.12,6.89,3500
2/27/2015,7.04,7.25,7.04,7.2,6.97,3690
3/2/2015,7.2,7.2,7.19,7.19,6.96,1340
3/3/2015,7.19,7.19,7.02,7.02,6.79,1230
3/4/2015,7.1,7.11,7.1,7.1,6.87,2440
3/5/2015,7.1,7.1,7.03,7.03,6.8,670
3/6/2015,7.03,7.19,7.02,7.16,6.93,7000
3/9/2015,7.16,7.25,7.16,7.16,6.93,1900
3/10/2015,7.16,7.2,7.16,7.2,6.97,300
3/11/2015,7.2,7.23,7.2,7.23,7,2050
3/12/2015,7.23,7.4,7.23,7.3,7.07,500
3/13/2015,7.29,7.29,7.29,7.29,7.06,3000
3/16/2015,7.25,7.25,7.23,7.23,7,1110
3/17/2015,7.03,7.35,7.03,7.23,7,1940
3/18/2015,7.23,7.28,7.02,7.28,7.05,1320
3/19/2015,7.28,7.28,7.28,7.28,7.05,70
3/24/2015,7.07,7.2,7.07,7.08,6.85,1790
3/25/2015,7.27,7.28,7.27,7.28,7.05,430
3/26/2015,7.28,7.28,7.27,7.27,7.04,420
3/30/2015,7.27,7.27,7.27,7.27,7.04,10
3/31/2015,7.1,7.1,7.1,7.1,6.87,1100
4/1/2015,7.1,7.1,7,7.1,6.87,3870
4/2/2015,7.24,7.24,7,7,6.77,2000
4/3/2015,7.2,7.2,7,7,6.77,4190
4/6/2015,7,7,6.92,6.92,6.69,1210
4/7/2015,7,7,6.92,6.95,6.72,5570
4/8/2015,7.14,7.14,7.14,7.14,6.91,100
4/10/2015,6.95,7.14,6.94,6.94,6.71,12580
4/13/2015,6.94,6.94,6.94,6.94,6.71,3010
4/14/2015,7,7,7,7,6.77,350
4/15/2015,7,7,6.91,7,6.77,1420
4/16/2015,7.14,7.14,7.14,7.14,6.91,10
4/17/2015,7,7,7,7,6.77,1080
4/20/2015,7,7,7,7,6.77,5000
4/21/2015,6.99,7,6.99,7,6.77,1150
4/22/2015,6.99,7,6.99,7,6.77,1750
4/23/2015,7.03,7.23,7.03,7.19,6.96,5930
4/24/2015,7.3,7.35,7.03,7.2,6.97,9120
4/27/2015,7.2,7.35,7.2,7.2,6.97,48610
4/28/2015,7.21,7.21,7.1,7.21,6.98,17340
4/29/2015,7.2,7.3,7.2,7.2,6.97,4370
4/30/2015,7.11,7.11,7.11,7.11,6.88,200
5/4/2015,7.1,7.1,7.08,7.08,6.85,10000
5/5/2015,7.08,7.08,7.08,7.08,6.85,6500
5/6/2015,7.07,7.2,7,7.2,6.97,3440
5/7/2015,7.2,7.2,7,7.14,6.91,23740
5/8/2015,7.18,7.18,6.99,7.18,6.95,70
5/11/2015,7.19,7.19,6.97,7,6.77,6110
5/13/2015,7.09,7.09,6.92,7.09,6.86,750
5/14/2015,7.08,7.09,6.95,7,6.77,19680
5/15/2015,7,7,6.95,6.95,6.72,400
5/18/2015,6.82,6.95,6.82,6.95,6.72,850
5/19/2015,6.9,7.05,6.9,7.05,6.82,6270
5/20/2015,7,7,6.95,7,6.77,2520
5/21/2015,7.15,7.15,6.95,7.15,6.92,6650
5/25/2015,7.15,7.15,7.15,7.15,6.92,2000
5/26/2015,7.15,7.19,7,7.19,6.96,1960
5/27/2015,7.19,7.19,7.19,7.19,6.96,40
5/28/2015,7.15,7.19,7.15,7.19,6.96,2520
5/29/2015,7.19,7.19,7.19,7.19,6.96,2000
6/1/2015,6.99,7.15,6.98,7.15,6.92,3820
6/2/2015,6.98,7.13,6.98,7.13,6.9,2080
6/3/2015,7.17,7.2,7.17,7.17,6.94,4110
6/4/2015,7.17,7.28,7.17,7.28,7.05,80
6/8/2015,7.1,7.2,7.1,7.2,6.97,120
6/10/2015,7,7,7,7,6.77,150
6/11/2015,6.12,6.12,6.12,6.12,5.89,190
6/12/2015,6.02,6.29,6.02,6.12,5.89,3270
6/15/2015,6.2,6.2,6.2,6.2,5.97,20
6/17/2015,6.11,6.2,6.11,6.2,5.97,3800
6/18/2015,6.34,6.34,6.11,6.11,5.88,720
6/19/2015,6.27,6.27,6.02,6.27,6.04,670
6/22/2015,6.11,6.11,6.11,6.11,5.88,5200
6/23/2015,6.11,6.11,6.11,6.11,5.88,420
6/24/2015,6.11,6.11,6.11,6.11,5.88,4950
6/25/2015,6.11,6.11,6.11,6.11,5.88,550
6/29/2015,6.11,6.11,5.93,6.11,5.88,3490
6/30/2015,6.11,6.11,5.98,5.98,5.75,110
7/1/2015,5.94,6.11,5.94,6.11,5.88,2620
7/2/2015,6.11,6.11,6.11,6.11,5.88,220
7/3/2015,6.02,6.1,5.98,6.09,5.86,290
7/6/2015,6.2,6.2,6.2,6.2,5.97,870
7/7/2015,6,6.11,6,6.11,5.88,1210
7/8/2015,6.08,6.09,6.08,6.08,5.85,2140
7/9/2015,6.07,6.07,5.94,6.07,5.84,1200
7/10/2015,6.06,6.06,5.98,5.98,5.75,1350
7/13/2015,5.98,6.02,5.98,6.02,5.82,170
7/14/2015,6.01,6.01,6.01,6.01,5.81,110
7/15/2015,5.94,5.94,5.94,5.94,5.74,630
7/16/2015,5.94,5.94,5.94,5.94,5.74,460
7/20/2015,5.94,5.94,5.94,5.94,5.74,540
7/21/2015,5.94,5.98,5.85,5.98,5.78,2640
7/23/2015,5.98,5.98,5.85,5.98,5.78,6090
7/24/2015,5.97,5.98,5.97,5.98,5.78,1230
7/28/2015,5.94,5.94,5.94,5.94,5.74,440
7/30/2015,5.76,5.94,5.76,5.77,5.57,670
7/31/2015,5.94,5.94,5.94,5.94,5.74,720
8/4/2015,5.94,5.94,5.94,5.94,5.74,230
8/5/2015,5.94,5.94,5.77,5.92,5.72,1180
8/7/2015,5.89,5.89,5.89,5.89,5.69,440
8/10/2015,5.91,5.91,5.88,5.88,5.68,3040
8/11/2015,5.89,5.89,5.89,5.89,5.69,330
8/12/2015,5.9,5.9,5.9,5.9,5.7,10
8/14/2015,5.9,5.9,5.9,5.9,5.7,440
8/17/2015,5.89,5.89,5.89,5.89,5.69,10
8/18/2015,5.89,5.93,5.89,5.93,5.73,1870
8/19/2015,5.93,5.94,5.81,5.93,5.73,8200
8/20/2015,5.93,5.94,5.77,5.77,5.57,710
8/21/2015,5.77,5.93,5.77,5.78,5.58,390
8/24/2015,5.89,5.94,5.76,5.94,5.74,1630
8/26/2015,5.94,5.94,5.93,5.93,5.73,270
8/27/2015,5.94,5.94,5.85,5.85,5.65,250
8/28/2015,5.85,5.85,5.85,5.85,5.65,150
9/1/2015,6.02,6.02,5.72,6.02,5.82,1320
9/2/2015,6,6,5.94,5.94,5.74,1680
9/3/2015,5.76,5.97,5.76,5.76,5.56,330
9/4/2015,5.72,5.72,5.67,5.67,5.47,500
9/7/2015,5.67,5.67,5.59,5.59,5.39,330
9/8/2015,5.59,5.59,5.59,5.59,5.39,220
9/9/2015,5.57,5.57,5.57,5.57,5.37,110
9/10/2015,5.57,5.57,5.56,5.56,5.36,440
9/11/2015,5.5,5.5,5.5,5.5,5.3,440
9/14/2015,5.5,5.56,5.41,5.56,5.36,2860
9/16/2015,5.5,5.5,5.41,5.5,5.3,10390
9/17/2015,5.5,5.56,5.5,5.54,5.34,1660
9/18/2015,5.55,5.67,5.55,5.67,5.47,4140
9/21/2015,5.72,5.72,5.72,5.72,5.52,130
9/30/2015,5.65,5.72,5.65,5.72,5.52,1590
10/1/2015,5.84,6.02,5.84,5.84,5.64,5130
10/2/2015,6.01,6.01,6.01,6.01,5.81,110
10/12/2015,5.75,5.94,5.75,5.94,5.74,400
10/13/2015,6.01,6.01,5.89,5.99,5.79,390
10/16/2015,5.85,5.99,5.85,5.99,5.79,350
10/19/2015,5.89,5.89,5.89,5.89,5.69,110
10/20/2015,5.89,5.89,5.85,5.85,5.65,1520
10/21/2015,5.85,5.85,5.85,5.85,5.65,220
10/22/2015,5.76,5.76,5.76,5.76,5.56,100
10/23/2015,5.76,5.76,5.76,5.76,5.56,60
10/27/2015,5.76,5.84,5.76,5.84,5.64,560
10/29/2015,5.81,5.81,5.81,5.81,5.61,110
10/30/2015,5.8,5.8,5.8,5.8,5.6,30
11/2/2015,5.8,5.8,5.76,5.76,5.56,450
11/4/2015,5.67,5.67,5.67,5.67,5.47,70
11/5/2015,5.42,5.69,5.35,5.69,5.49,510
11/6/2015,5.53,5.53,5.53,5.53,5.33,110
11/9/2015,5.53,5.53,5.53,5.53,5.33,90
11/10/2015,5.37,5.37,5.37,5.37,5.17,330
11/11/2015,5.21,5.36,5.21,5.36,5.16,100
11/12/2015,5.21,5.35,5.2,5.35,5.15,300
11/13/2015,5.19,5.34,5.19,5.19,4.99,980
11/16/2015,5.05,5.24,5.05,5.24,5.04,290
11/17/2015,5.08,5.08,5.08,5.08,4.88,220
11/18/2015,5.02,5.02,5.02,5.02,4.82,460
11/19/2015,5.02,5.02,4.87,4.87,4.67,1080
11/20/2015,4.77,4.8,4.73,4.8,4.6,830
11/23/2015,4.8,4.8,4.8,4.8,4.6,10
11/24/2015,4.8,4.8,4.8,4.8,4.6,490
11/27/2015,4.8,4.8,4.8,4.8,4.6,10
11/30/2015,4.8,4.8,4.63,4.63,4.43,1310
12/1/2015,4.75,4.76,4.63,4.63,4.43,770
12/2/2015,4.63,4.63,4.63,4.63,4.43,720
12/3/2015,4.63,4.63,4.59,4.59,4.39,300
12/4/2015,4.5,4.5,4.46,4.46,4.26,820
12/7/2015,4.46,4.46,4.44,4.44,4.24,1380
12/8/2015,4.45,4.45,4.32,4.44,4.24,790
12/9/2015,4.31,4.31,4.3,4.3,4.1,550
12/10/2015,4.41,4.54,4.37,4.44,4.24,27600
12/11/2015,4.57,4.57,4.44,4.44,4.24,3520
12/14/2015,4.54,4.54,4.44,4.44,4.24,1000
12/15/2015,4.56,4.56,4.37,4.37,4.17,5690
12/16/2015,4.37,4.37,4.25,4.25,4.05,2410
12/17/2015,4.37,4.37,4.32,4.37,4.17,6750
12/18/2015,4.45,4.45,4.37,4.37,4.17,100
12/21/2015,4.27,4.39,4.27,4.37,4.17,5060
12/22/2015,4.37,4.37,4.37,4.37,4.17,550
12/23/2015,4.37,4.37,4.28,4.28,4.08,3080
12/25/2015,4.4,4.4,4.4,4.4,4.2,390
12/28/2015,4.4,4.4,4.39,4.4,4.2,12230
12/29/2015,4.4,4.4,4.4,4.4,4.2,7290
12/30/2015,4.4,4.42,4.29,4.29,4.09,1150
12/31/2015,4.39,4.52,4.28,4.52,4.32,3100
1/4/2016,4.71,4.79,4.71,4.79,4.59,5170
1/5/2016,4.93,5.07,4.93,5.07,4.87,5940
1/6/2016,5.22,5.24,5.07,5.07,4.87,3790
1/7/2016,5.22,5.22,5.05,5.2,5,1900
1/8/2016,5.2,5.2,5.05,5.2,5,1760
1/11/2016,5.21,5.23,5.21,5.21,5.01,1630
1/12/2016,5.21,5.35,5.06,5.33,5.13,5050
1/13/2016,5.34,5.34,5.33,5.33,5.13,1350
1/15/2016,5.24,5.24,5.21,5.22,5.02,11880
1/18/2016,5.22,5.24,5.22,5.24,5.04,460
1/19/2016,5.15,5.21,5.15,5.21,5.01,16720
1/20/2016,5.15,5.19,5.15,5.19,4.99,220
1/21/2016,5.19,5.24,5.19,5.19,4.99,1510
1/22/2016,5.19,5.19,5.15,5.15,4.95,67740
1/26/2016,5.15,5.15,5.15,5.15,4.95,16500
1/27/2016,5.06,5.06,4.98,4.98,4.78,28270
1/28/2016,4.98,5.12,4.83,5.12,4.92,18240
1/29/2016,4.83,5.12,4.83,5.12,4.92,4760
2/1/2016,5.06,5.06,4.84,4.84,4.64,14360
2/2/2016,4.89,4.89,4.71,4.71,4.51,170
2/3/2016,4.71,4.85,4.57,4.84,4.64,8010
2/4/2016,4.89,4.89,4.85,4.85,4.65,1050
2/5/2016,4.84,4.89,4.84,4.89,4.69,2130
2/8/2016,4.75,4.75,4.75,4.75,4.55,550
2/9/2016,4.89,4.98,4.89,4.98,4.78,550
2/11/2016,4.97,4.97,4.76,4.76,4.56,390
2/12/2016,4.87,4.87,4.87,4.87,4.67,110
2/17/2016,4.73,4.73,4.73,4.73,4.53,60
2/19/2016,4.67,4.67,4.59,4.59,4.39,1520
2/22/2016,4.67,4.67,4.67,4.67,4.47,90
2/23/2016,4.53,4.66,4.53,4.53,4.33,90
2/24/2016,4.52,4.52,4.52,4.52,4.32,3380
2/25/2016,4.39,4.39,4.39,4.39,4.19,720
2/26/2016,4.28,4.28,4.27,4.27,4.07,1400
2/29/2016,4.32,4.4,4.32,4.37,4.17,27700
3/1/2016,4.36,4.36,4.23,4.35,4.15,4180
3/2/2016,4.24,4.36,4.24,4.36,4.16,2210
3/3/2016,4.31,4.36,4.23,4.23,4.03,21160
3/4/2016,4.27,4.27,4.27,4.27,4.07,2200
3/7/2016,4.27,4.28,4.27,4.27,4.07,1500
3/8/2016,4.31,4.34,4.31,4.33,4.13,2000
3/10/2016,4.34,4.34,4.27,4.27,4.07,1140
3/11/2016,4.28,4.34,4.15,4.3,4.1,1600
3/14/2016,4.37,4.37,4.36,4.37,4.17,21200
3/17/2016,4.26,4.26,4.23,4.23,4.03,1460
3/18/2016,4.26,4.26,4.2,4.2,4,270
3/21/2016,4.26,4.26,4.14,4.24,4.04,3050
3/22/2016,4.28,4.28,4.24,4.24,4.04,1000
3/23/2016,4.2,4.2,4.12,4.12,3.92,190
3/24/2016,4.24,4.24,4,4.24,4.04,4270
3/25/2016,4.12,4.24,4.12,4.12,3.92,830
3/28/2016,4.12,4.15,4.12,4.12,3.92,810
3/29/2016,4.19,4.19,4.07,4.11,3.91,880
3/30/2016,4.02,4.23,4.02,4.19,3.99,3470
3/31/2016,4.23,4.23,4.23,4.23,4.03,10
4/1/2016,4.28,4.28,4.23,4.28,4.08,120
4/4/2016,4.23,4.23,4.23,4.23,4.03,110
4/11/2016,4.11,4.11,4.11,4.11,3.91,0
4/12/2016,4.02,4.02,3.99,3.99,3.79,14250
4/13/2016,4.09,4.09,3.97,3.97,3.77,3030
4/14/2016,3.93,3.93,3.86,3.86,3.66,10910
4/15/2016,3.77,3.85,3.67,3.67,3.47,11200
4/18/2016,3.67,3.67,3.56,3.67,3.47,4570
4/19/2016,3.74,3.74,3.74,3.74,3.54,0
4/20/2016,3.82,3.82,3.71,3.79,3.59,870
4/21/2016,3.68,3.86,3.68,3.86,3.66,2420
4/22/2016,3.86,4.02,3.75,4.02,3.82,45470
4/25/2016,4.14,4.27,4.13,4.25,4.05,20810
4/26/2016,4.37,4.5,4.24,4.41,4.21,18550
4/27/2016,4.41,4.41,4.28,4.28,4.08,1380
4/28/2016,4.09,4.22,4.09,4.19,3.99,13120
4/29/2016,4.02,4.09,3.86,3.86,3.66,4030
5/2/2016,3.75,3.85,3.66,3.84,3.64,2180
5/3/2016,3.83,3.95,3.83,3.84,3.64,3090
5/4/2016,3.95,3.95,3.75,3.75,3.55,2590
5/5/2016,3.65,3.87,3.54,3.84,3.64,6740
5/6/2016,3.84,3.84,3.75,3.83,3.63,1190
5/9/2016,3.75,3.83,3.62,3.82,3.62,3200
5/10/2016,3.83,3.83,3.72,3.72,3.52,350
5/11/2016,3.83,3.83,3.67,3.81,3.61,760
5/12/2016,3.69,3.69,3.69,3.69,3.49,390
5/13/2016,3.73,3.73,3.62,3.62,3.42,1640
5/16/2016,3.61,3.69,3.54,3.61,3.41,1620
5/17/2016,3.61,3.61,3.58,3.58,3.38,4730
5/18/2016,3.57,3.57,3.51,3.57,3.37,14030
5/19/2016,3.51,3.51,3.49,3.49,3.29,940
5/20/2016,3.46,3.49,3.39,3.39,3.19,1330
5/23/2016,3.48,3.51,3.4,3.4,3.2,3850
5/24/2016,3.5,3.51,3.4,3.49,3.29,950
5/25/2016,3.49,3.49,3.39,3.47,3.27,2150
5/26/2016,3.34,3.44,3.34,3.44,3.24,300
5/27/2016,3.3,3.42,3.29,3.29,3.09,2470
5/30/2016,3.39,3.46,3.32,3.41,3.21,2020
5/31/2016,3.46,3.46,3.41,3.41,3.21,610
6/1/2016,3.41,3.41,3.27,3.31,3.11,1340
6/2/2016,3.35,3.36,3.23,3.35,3.15,3250
6/3/2016,3.23,3.3,3.12,3.29,3.09,2760
6/6/2016,3.3,3.31,3.3,3.31,3.11,220
6/7/2016,3.31,3.31,3.31,3.31,3.11,720
6/8/2016,3.28,3.28,3.28,3.28,3.08,10
6/9/2016,3.2,3.26,3.19,3.26,3.06,3950
6/10/2016,3.19,3.28,3.19,3.27,3.07,1760
6/13/2016,3.27,3.29,3.26,3.29,3.09,1920
6/14/2016,3.2,3.37,3.2,3.37,3.17,8170
6/15/2016,3.36,3.37,3.36,3.37,3.17,350
6/16/2016,3.29,3.45,3.29,3.29,3.09,4700
6/17/2016,3.44,3.44,3.44,3.44,3.24,2230
6/20/2016,3.43,3.43,3.42,3.42,3.22,12310
6/21/2016,3.38,3.38,3.32,3.38,3.18,2120
6/22/2016,3.29,3.38,3.29,3.38,3.18,5720
6/23/2016,3.26,3.33,3.26,3.33,3.13,2110
6/24/2016,3.28,3.28,3.25,3.28,3.08,5750
6/27/2016,3.25,3.33,3.25,3.33,3.13,2080
6/28/2016,3.25,3.33,3.25,3.33,3.13,13050
7/1/2016,3.27,3.33,3.27,3.33,3.13,1800
7/8/2016,3.37,3.37,3.33,3.33,3.13,2310
7/11/2016,3.37,3.46,3.37,3.46,3.26,690
7/12/2016,3.39,3.39,3.39,3.39,3.19,120
7/13/2016,3.29,3.42,3.25,3.42,3.22,5900
7/14/2016,3.52,3.52,3.52,3.52,3.32,700
7/15/2016,3.46,3.46,3.46,3.46,3.26,800
7/18/2016,3.39,3.42,3.39,3.42,3.27,520
7/19/2016,3.42,3.42,3.42,3.42,3.27,1280
7/20/2016,3.42,3.42,3.42,3.42,3.27,2250
7/21/2016,3.42,3.45,3.42,3.45,3.3,1180
7/22/2016,3.46,3.46,3.38,3.46,3.31,1090
7/26/2016,3.46,3.46,3.38,3.38,3.23,670
7/27/2016,3.46,3.46,3.37,3.37,3.22,2080
7/28/2016,3.5,3.5,3.42,3.42,3.27,1500
7/29/2016,3.39,3.42,3.38,3.42,3.27,730
8/1/2016,3.42,3.42,3.42,3.42,3.27,200
8/2/2016,3.37,3.37,3.37,3.37,3.22,350
8/3/2016,3.28,3.46,3.27,3.46,3.31,4530
8/9/2016,3.36,3.36,3.36,3.36,3.21,1500
8/10/2016,3.3,3.3,3.3,3.3,3.15,170
8/11/2016,3.31,3.31,3.31,3.31,3.16,810
8/12/2016,3.28,3.28,3.28,3.28,3.13,2350
8/15/2016,3.36,3.36,3.36,3.36,3.21,350
8/16/2016,3.36,3.36,3.36,3.36,3.21,8200
8/17/2016,3.36,3.44,3.36,3.44,3.29,1710
8/18/2016,3.46,3.46,3.46,3.46,3.31,240
8/22/2016,3.45,3.45,3.45,3.45,3.3,380
8/23/2016,3.27,3.27,3.27,3.27,3.12,740
8/24/2016,3.27,3.27,3.27,3.27,3.12,90
8/25/2016,3.31,3.31,3.21,3.21,3.06,450
8/26/2016,3.29,3.29,3.25,3.25,3.1,1780
8/29/2016,3.29,3.29,3.29,3.29,3.14,60
8/30/2016,3.29,3.29,3.29,3.29,3.14,120
8/31/2016,3.2,3.29,3.2,3.29,3.14,50
9/1/2016,3.39,3.39,3.39,3.39,3.24,250
9/9/2016,3.29,3.39,3.29,3.32,3.17,2600
9/19/2016,3.38,3.38,3.38,3.38,3.23,1160
9/23/2016,3.13,3.22,3.13,3.14,2.99,5870
9/26/2016,3.22,3.22,3.06,3.22,3.07,90
9/27/2016,3.22,3.22,3.22,3.22,3.07,200
9/28/2016,3.18,3.18,3.18,3.18,3.03,120
9/29/2016,3.23,3.27,3.08,3.08,2.93,3140
9/30/2016,3.17,3.19,3.08,3.08,2.93,4020
10/4/2016,3.08,3.08,3,3,2.85,7670
10/5/2016,2.99,3.07,2.94,3.07,2.92,300
10/6/2016,3.1,3.1,3.1,3.1,2.95,50
10/7/2016,3.1,3.1,2.96,2.96,2.81,720
10/10/2016,3.05,3.05,2.87,3.04,2.89,26330
10/11/2016,3.05,3.21,3.04,3.21,3.06,7760
10/12/2016,3.25,3.32,3.2,3.32,3.17,28500
10/13/2016,3.35,3.41,3.29,3.36,3.21,18330
10/14/2016,3.42,3.42,3.32,3.36,3.21,3510
10/17/2016,3.42,3.45,3.36,3.45,3.3,280
10/18/2016,3.45,3.45,3.38,3.38,3.23,350
